#,Negocio,Dirección,⭐,💰 Precio (MXN),📝 Especialidad,📍 Google Maps,phone,hours,website,photo,plusCode,isTop10,reviewCount,fullHours,priceLevel,category
1,Taco Fish Paz,"Av. de la Paz 494, Gdl",4.7,$25–$35 c/taco,"Más de 20,000 votos en Google",https://www.google.com/maps/search/Taco%20Fish%20Paz%20Av.%20de%20la%20Paz%20494%2C%20Gdl%20Guadalajara,"
+52 33 1653 8934","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",http://tacofishlapaz.com/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHxXhf47PXiv1q8KBUWp5_PtoLHlxw98zvJKQwJ4f9hUpOwCSc9ST6XR9OqhUnl0ynpRRpOQCE__4hGx8CKfFv3rW09J367H7DniuZ8NyH2GoyikA_eJMR7tG4NpSToCnm_xlH1cj7JOyc=w1000-h1000-k-no,N/A,true,20384,,,
2,Tomate Taquería,Av. Chapultepec Sur 361,4.7,$25–$40 c/taco,"17,500+ reseñas de clientes",https://www.google.com/maps/search/Tomate%20Taquer%C3%ADa%20Av.%20Chapultepec%20Sur%20361%20Guadalajara,"
+52 33 3825 3331","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",http://tomatetaqueria.com/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAExWMvt7i4TZmv-KDgwVhz9_NX9JFayQY0C86k0hSLyKoHy7jeISHfmIlpH5TuQvy76134ObpaVQ2GjTZm1OiATFLxAdrIvM0CwkSwYU_e7VcuXP-j3hFBIsOHHH471jYFpPehvyT16_NfS=w1000-h1000-k-no,N/A,true,17729,,,
15,Tacos Los Alteños,"Av. Tepeyac, Zapopan",4.7,$100–$200,Tacos al pastor y lengua,"https://www.google.com/maps/place/Los+Alte%C3%B1os/@20.6615457,-103.4033149,17z/data=!3m1!4b1!4m6!3m5!1s0x8428afb52af4fed1:0x6a06776fc94b9df5!8m2!3d20.6615457!4d-103.4033149!16s%2Fg%2F1hc5wr5m0?entry=ttu&g_ep=EgoyMDI2MDUxMS4wIKXMDSoASAFQAw%3D%3D","
+52 33 3121 6712","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
12a.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNUFUVX-t6DKTXCGImzY7wY62lwFTO8qC0d-2030Rm7XEEBPgp-1EXnoAzw6yuYuTou-i4e0gqgIfV5-vnUARZwp-s4puyI3hF_lszIv0XWZa8wgK1C9JunsOzz5PHEy1yn8XF=w1000-h1000-k-no,N/A,true,11189,N/A,N/A,N/A
12,Anita Li,"Av. México 2903, Vallarta Nte",4.6,$35–$55 c/taco,Taco de camarón en jícama,https://www.google.com/maps/search/Anita%20Li%20Guadalajara%20Jalisco,"
+52 33 3647 4757",N/A,http://anitali.mx/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEOiTBr__xInfD4keO2vI7luokXCJ22E6BthvaIUNlgOfwf0FwmWbhcz6k6uZJHxX7Z9KiSRQIYgaN12Vgo7qn_vDrJWIRzif5hbOF_IP0GpC3nox5Vfx3DkDtXYlZAodcwlLS9T7AGFqWi=w1000-h1000-k-no,N/A,true,7795,N/A,N/A,N/A
3,Tripitas Don Ramón,Calle Chiapas 1538,4.5,$20–$28 c/taco,"7,700+ reseñas; especialistas en tripa",https://www.google.com/maps/search/Tripitas%20Don%20Ram%C3%B3n%20Calle%20Chiapas%201538%20Guadalajara,"
+52 33 2536 0685","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHY6tXc16LcOt_BuIJU89stm0rruITb-gvEQ6mzvdgIJeKudXuxbzb7P4kJW38oofGzkzys8yfq5TbVZ5OLtu_EL4rxWN0WfgsCBgq-WfNZiPt_qh1BxUDyC0zGtbs7E6mcsUgPZw=w1000-h1000-k-no,N/A,true,7816,N/A,N/A,N/A
18,Tacos Los Parados,"Av. Aztecas, Zapopan",4.5,$20–$28 c/taco,Tacos al carbón y gringas,https://www.google.com/maps/search/Tacos%20Los%20Parados%20Guadalajara%20Jalisco,"
+52 33 4705 9769",N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGsDV7f23Q8nUo6eTrboqH6rWRF0G035PPhSNeCx5F1saiKnHc2WEDusHufZjnQ1qMuKDMmyX7QrOZh0t1KlDWFtoWgzbYvceBo6YgNt5JxBqcsp4ugfxMLNORXfThLAq9iTPYsig=w1000-h1000-k-no,N/A,true,6445,N/A,N/A,N/A
6,Tacos Providencia,Av. Rubén Darío 534,4.5,$25–$35 c/taco,"6,300+ reseñas; ambiente premium",https://www.google.com/maps/search/Tacos%20Providencia%20Av.%20Rub%C3%A9n%20Dar%C3%ADo%20534%20Guadalajara,"
+52 33 3641 6049","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://tacosprovidencia.shop/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-ciFaUU5YwjLvs7LtcYvbA8DczWi9442Y5Xf2e8rurjlGssqkli77D5pydQcQQJ7ca-NPPW1e0fjMnpl0lKJPDWBGxCvN681v-bQdWrHkHIma28g9fQcPEzraHM4w1MPYOnie8rpqUiJQ=w1000-h1000-k-no,N/A,true,6446,N/A,N/A,N/A
13,Habanero Negro,López Cotilla 1228-A,4.5,$30–$50 c/taco,Tacos de cochinita y pork belly,"https://www.google.com/maps/place/El+Habanero+Negro/@20.6740157,-103.3637309,17z/data=!3m1!4b1!4m6!3m5!1s0x8428ae036f940001:0x3a2043ff043b31d6!8m2!3d20.6740157!4d-103.3637309!16s%2Fg%2F11hbmt6mv9?entry=ttu&g_ep=EgoyMDI2MDUxMS4wIKXMDSoASAFQAw%3D%3D",N/A,"Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
12a.m.
",https://www.instagram.com/elhabaneronegro/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHCyOkBwxJ_onWHptb-K8QBhmOuaagdaMGS-KbZeW70THrykYBUbsXKHs1wRy3uNqf2iSkxGsHaokZRtM0sT0x8iu8mJIOtL_wQhtyGLjpRwEK38Th8J9GztsJtxmsSn7db40f11DyoxUWE=w1000-h1000-k-no,N/A,true,6148,N/A,N/A,N/A
26,Tacos El Vaquero,Tlajomulco Centro,4.5,$20–$28 c/taco,Especialidad en carne asada,https://www.google.com/maps/search/Tacos%20El%20Vaquero%20Guadalajara%20Jalisco,"
+52 33 1683 0548",N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFchRMsf8pPHdFzov1-cODxUTncKwPtVmL8LcnqskpoLLq9ZNvBQU7IJPq9XIR2fHTYXDVijDg8Gs_5SDF4mDuevUxCuNDf1nGkGNp8TTE61S1m-KA_vwvFflRRuGIg8R_uUA6M=w1000-h1000-k-no,N/A,true,4970,N/A,N/A,N/A
14,Taquería Orinoco,"Av. Libertad 1890, Americana",4.4,$28–$45 c/taco,Chicharrón de Rib Eye estilo norteño,https://www.google.com/maps/search/Taquer%C3%ADa%20Orinoco%20Guadalajara%20Jalisco,"
+52 55 5584 0845",N/A,http://www.taqueriaorinoco.com/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF7os4AjJXPxDWkYl8ymS9doyf5B3xPGboUJbw27MZbFPSKHeaSlQJBf9DCvZgn9Snm8rRiIGqBwx3UtexOQ6vPrQQkLeee_SGDycJNIBEKmMp4n8djUjsXZcWG8kHMJoHpQ_gkF94bVUY=w1000-h1000-k-no,N/A,true,3112,N/A,N/A,N/A
