#,Negocio,Dirección,⭐,💰 Precio (MXN),📝 Observaciones,📍 Google Maps,phone,hours,website,photo,plusCode,isTop10,reviewCount,fullHours,priceLevel,category
1,El Parián de Tlaquepaque,Parrilla ·  · Calle Progreso 15,4.4,$200-600,"4.4(50,868) · $200-600",https://www.google.com/maps/place/El+Pari%C3%A1n+de+Tlaquepaque/data=!4m7!3m6!1s0x8428b3b367628449:0xc143d37a270c8d66!8m2!3d20.6388349!4d-103.3110439!16s%2Fg%2F11b5v5p8bn!19sChIJSYRiZ7OzKIQRZo0MJ3rTQ8E?authuser=0&hl=es-419&rclk=1,"
+52 33 1310 2614","Horarios de mayor concurrencia
miércoles



EN TIEMPO REALMenos concurrido de lo habitual
6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
12a.m.
",https://elpariandesanpedrotlaquepaque.com/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGUa9hade5-70RbFGob9NVOMgs4nlKlJtAybmalM0kHX60bdomW9oOo2WnwZATqVyR6Lq_jNjkSKfBUbzN6S3P9JbSNz80_6TWoSVUHMVWpKEu9HEf14kEpCTNNqVuh72Ll-ygy=w1000-h1000-k-no,N/A,true,50868,N/A,$$,Bar restaurante
2,El Abajeño Tlaquepaque,Mexicana ·  · C. Juárez 231,4.3,$200-400,"4.3(10,064) · $200-400",https://www.google.com/maps/place/El+Abaje%C3%B1o+Tlaquepaque/data=!4m7!3m6!1s0x8428b24c9788ebb7:0xfed6229438a9e66d!8m2!3d20.6380043!4d-103.3142852!16s%2Fg%2F1wl4qy2w!19sChIJt-uIl0yyKIQRbeapOJQi1v4?authuser=0&hl=es-419&rclk=1,"
+52 33 3635 9015","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",http://www.abajeno.com/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGpcufGo9NlqsHWpicPd098AuYqGwXsBfNyug6B-u6wEz7aUPq_q0zQCOIu-32iE0727fsy9shdk9RgLFuqjTQVdV_NKV3zymagCXbqhs8fUeyh__lGLMMEMKaDKnEu5K-M4Or9GA=w1000-h1000-k-no,N/A,true,10064,N/A,N/A,Bar restaurante
3,Tortas Ahogadas Don Jose El De La Bicicleta,Comida rápida ·  · C. Mexicaltzingo 27,4.3,$1-100,"Local muy sencillo, pero las tortas espectaculares destaca la salsa",https://www.google.com/maps/place/Tortas+Ahogadas+Don+Jose+El+De+La+Bicicleta/data=!4m7!3m6!1s0x8428b202a8ac6c0b:0x9af75365401540c9!8m2!3d20.6652842!4d-103.3479514!16s%2Fg%2F11b7d_1_91!19sChIJC2ysqAKyKIQRyUAVQGVT95o?authuser=0&hl=es-419&rclk=1,"
+52 33 2200 9970","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://tortaslabicicleta.com/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEo29RNfem4gm9eL6hlzOmfzYLzpFk2lo5Hw1--A08Po_sC-G7wi2lfR34Yz9NxjYXdYF2eDBo31842hdZVVUX402SEE8ZxVmAM-HcPytfSqD0olNs2nrdunx_Y_p3sHyiwxHFi=w1000-h1000-k-no,N/A,true,6561,N/A,N/A,Restaurante de comida rápida
4,Ahogadas Sánchez (Parra),"Eulogio Parra, Santa Tere",4.6,$65–$80,Clásico de la cocina callejera,https://www.google.com/maps/search/Ahogadas%20S%C3%A1nchez%20(Parra)%20Guadalajara%20Jalisco,"
+52 33 3615 1642",N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFtavwkLoe9lZSQSJNEOszPJze1-Dwr_RohE1YDkQfpy8ioCCoKy3VdfZk9ydG6jjGF3AFnw3Gj0IVSAYM9Bqm10EpyyA8e4S1QpmqiGCEvNz6dN9nIZWACKuE3IUyrXyHaoDK9xg=w1000-h1000-k-no,N/A,true,6536,,,
5,Chago Ahogadas,Zapopan (Varias sucursales),4.5,$100-200,Destaca por su alto volumen de reseñas,"https://www.google.com/maps/place/Chago+Ahogadas/@20.6251605,-103.4562212,13z/data=!4m10!1m2!2m1!1sChago+Ahogadas+Zapopan+(Varias+sucursales)+Guadalajara!3m6!1s0x8428ad98f6007add:0xe493d23ee3fb1ed!8m2!3d20.6251605!4d-103.3800035!15sCjZDaGFnbyBBaG9nYWRhcyBaYXBvcGFuIChWYXJpYXMgc3VjdXJzYWxlcykgR3VhZGFsYWphcmFaNiI0Y2hhZ28gYWhvZ2FkYXMgemFwb3BhbiB2YXJpYXMgc3VjdXJzYWxlcyBndWFkYWxhamFyYZIBGG1leGljYW5fdG9ydGFfcmVzdGF1cmFudJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQycEtNVlZXT1V4V1IwbDRZbTVXVlZsNlJteFZWVlY1VlZjd2VHRnRZeEFC4AEA-gEECAAQQw!16s%2Fg%2F1tgs17nk?entry=ttu&g_ep=EgoyMDI2MDUxMS4wIKXMDSoASAFQAw%3D%3D","
+52 33 3144 1770","Horarios de mayor concurrencia
jueves



EN TIEMPO REALMás concurrido de lo habitual
6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
","http://www.chagoahogadas.com.mx/%20,%20chagoahogadas@live.com.mx",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFeocAii3otUlBsO10t2vZhSMUQnYAjpup6Wy9IWGpw-W83oOirXy6-1oP7QmyF2T-aeow9cJoZfQiGVnd7ZaXgIsLSEMPK5CEpa7MeLB4I9DzAp8OM7VphUY5gp3x9jv3Vt-LTqsACxncb=w1000-h1000-k-no,N/A,true,6452,N/A,N/A,N/A
6,Super Tortas Ahogadas Rober's,"4.6(5,679) · $100-200",4.6,$100-200,"La torta muy rica, la salsa tiene buen sabor la limpieza impecable.",https://www.google.com/maps/place/Super+Tortas+Ahogadas+Rober%27s/data=!4m7!3m6!1s0x8428b1931c3ae7d1:0xcbb16f3d82884ad1!8m2!3d20.6839964!4d-103.3338596!16s%2Fg%2F1tgwn01n!19sChIJ0ec6HJOxKIQR0UqIgj1vscs?authuser=0&hl=es-419&rclk=1,"
+52 33 3618 7524","Horarios de mayor concurrencia
miércoles



Cerrado los miércoles—elige otro día
",http://www.tortasrobers.com.mx/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGrGawFPMw1ejA1V1Gbrno6viMQPTiifKX4clMSwE6P8cLZaidszA00FBZp_psgSzu4_y8HHW0gouR0xgAe-t5allIeJFMUw2JEZBcfj-bVCQZJ_Oe2I6jWLJVc-HCPJs5QSZ8nhUaIYAtx=w1000-h1000-k-no,N/A,true,5679,N/A,N/A,Restaurante de comida rápida
7,Ahogadas Valdos,Mexicana ·  · Av. Adolfo López Mateos Sur 5682,4.4,$100-200,Exquisitos y deliciosos tacos y tortas ahogadas.,https://www.google.com/maps/place/Ahogadas+Valdos/data=!4m7!3m6!1s0x8428ac5b32f1772b:0xb3b29dd9944061e3!8m2!3d20.6238785!4d-103.4211654!16s%2Fg%2F1tdg83cl!19sChIJK3fxMlusKIQR42FAlNmdsrM?authuser=0&hl=es-419&rclk=1,"
+52 33 3632 9000","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",http://www.ahogadasvaldos.com/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHICmxVaBbUnawe6npJ7DqHIEz3298Ufb4JzsOkySG8mAQESjyYxFKmgYr3eBLPgN3TPKnvycEdAuhsaPMrpZDDxG2Wb5iU5bftptTraPlW2HVpeL_p9e558K99dbW4AmPDV8vWEw=w1000-h1000-k-no,N/A,true,5574,N/A,N/A,Restaurante mexicano
8,Tortas Toño Chapalita,Comida rápida ·  · Av. Tepeyac 605,4.5,$100-200,Un excelente lugar para probar unas tortas ahogadas y tacos.,https://www.google.com/maps/place/Tortas+To%C3%B1o+Chapalita/data=!4m7!3m6!1s0x8428ae7f185c29a5:0x96019cb88b37f16!8m2!3d20.6635087!4d-103.400772!16s%2Fg%2F1pty23c7c!19sChIJpSlcGH-uKIQRFn-ziMsZYAk?authuser=0&hl=es-419&rclk=1,"
+52 33 3647 6208","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",http://www.tortastono.com.mx/index.html,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE9WfqdyEw_mkVBxIDxBKs6RsygtI8YidoaEFZeF-adWKfcYS8estW2V4VXRfyvkNgwNWiW5DFaR3RpJjzf9iJnhhHAeeNDzokECZaiQ-1JPlnfXQRDQJEBqIakne9JWBf7NPXp=w1000-h1000-k-no,N/A,true,5111,N/A,N/A,Restaurante de comida rápida
9,Cenaduría Doña Guille,Mexicana ·  · C. Jaime Nunó 1032,4.5,$100-200,"mini flauta 55 pesos, mini enchilada 50 pesos, ubiquense",https://www.google.com/maps/place/Cenadur%C3%ADa+Do%C3%B1a+Guille/data=!4m7!3m6!1s0x8428ae23fb912a49:0xb02cfb60e843d65f!8m2!3d20.693061!4d-103.3648936!16s%2Fg%2F11b6syn8yv!19sChIJSSqR-yOuKIQRX9ZD6GD7LLA?authuser=0&hl=es-419&rclk=1,"
+52 33 3825 6676","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEpbDyAFGLK0vdEhCkRMzn8h2IpXn07B7cVmFgmfant4N6MFhksCCN51o3Uq_yzUNv0UqPZP4CuiC3QEbw5REraxHdaH92wFDZS6ezaNxC2yl9HxF_Amy8Fd2FVP8uJTtjL_4AsU101qG3n=w1000-h1000-k-no,N/A,true,5067,N/A,N/A,Restaurante
10,Lonchería Lisboa Fresno,Mexicana ·  · C. Fresno 2001,4.3,$100-200,La comida es deliciosa si no has comido sus lonches no conoces Guadalajara,https://www.google.com/maps/place/Loncher%C3%ADa+Lisboa+Fresno/data=!4m7!3m6!1s0x8428ade4a5f7123d:0xdde008d5d7fb6d7d!8m2!3d20.6575569!4d-103.3710317!16s%2Fg%2F1ptykcz41!19sChIJPRL3peStKIQRfW3719UI4N0?authuser=0&hl=es-419&rclk=1,"
+52 33 3812 9079","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",http://www.loncherialisboa.com/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH5tiefTR-jh03B5TuX82wZFoYPDBYNUEwOm14A6YR3FFp6CxEPevYX7cLts-7wvZAvzGFmaX_-meQa61fAWYgymWsBmnQOLTqJt4He8oxMixfROLKK-EmbnNmtzbS-b2b5HwD5UQ=w1000-h1000-k-no,N/A,true,5038,N/A,N/A,Restaurante mexicano
